t.kingdomName,t.rank,n,nloc,ndate
"""Animalia""","""kingdom""",785,649,770
"""Animalia""","""species""",1483748,1115907,1176113
"""Animalia""","""genus""",331532,277702,279610
"""Animalia""","""subspecies""",38264,26592,32238
"""Animalia""","""order""",13171,10565,8972
"""Animalia""","""form""",4320,696,4256
"""Animalia""","""class""",24402,22158,13390
"""Animalia""","""phylum""",12058,9188,10155
"""Animalia""","""variety""",42,41,41
"""Animalia""","""family""",27107,21989,21642
"""Archaea""","""genus""",9,0,9
"""Archaea""","""species""",201,77,183
"""Archaea""","""class""",3,2,3
"""Archaea""","""kingdom""",2,2,2
"""Archaea""","""order""",10,0,10
"""Bacteria""","""species""",60786,12165,59964
"""Bacteria""","""genus""",1665,914,1566
"""Bacteria""","""class""",53,53,53
"""Bacteria""","""phylum""",4,3,4
"""Bacteria""","""order""",1,0,1
"""Bacteria""","""family""",5,1,5
"""Bacteria""","""kingdom""",1,0,1
"""Bacteria""","""subspecies""",145,25,132
"""Chromista""","""species""",19188,8219,17043
"""Chromista""","""genus""",9877,9294,9439
"""Chromista""","""order""",138,134,23
"""Chromista""","""family""",4824,4819,4805
"""Chromista""","""class""",3,0,0
"""Chromista""","""variety""",13,12,13
"""Chromista""","""phylum""",130,14,128
"""Chromista""","""form""",2,2,2
"""Fungi""","""species""",869811,691278,834002
"""Fungi""","""family""",865,755,759
"""Fungi""","""genus""",42897,35830,34298
"""Fungi""","""order""",739,727,734
"""Fungi""","""subspecies""",534,468,499
"""Fungi""","""variety""",3255,2997,3164
"""Fungi""","""class""",92,88,91
"""Fungi""","""form""",5439,5410,5435
"""Fungi""","""kingdom""",1063,837,1007
"""Fungi""","""phylum""",3,1,2
"""Plantae""","""genus""",977059,866006,936115
"""Plantae""","""species""",5796745,4994349,5566435
"""Plantae""","""subspecies""",189664,175753,184163
"""Plantae""","""variety""",84029,77468,80964
"""Plantae""","""phylum""",218,175,203
"""Plantae""","""form""",226,166,193
"""Plantae""","""order""",33,12,32
"""Plantae""","""class""",27,27,9
"""Plantae""","""family""",38783,36092,15574
"""Plantae""","""kingdom""",4571,3843,4208
"""Protozoa""","""species""",9985,6206,8339
"""Protozoa""","""variety""",33,33,33
"""Protozoa""","""order""",15,15,15
"""Protozoa""","""genus""",2501,2400,2439
"""Protozoa""","""family""",49,46,46
"""Protozoa""","""phylum""",311,311,311
"""Protozoa""","""subspecies""",6,6,6
"""Protozoa""","""kingdom""",49,49,49
"""Protozoa""","""class""",3,2,3
"""Viruses""","""family""",21,0,21
"""Viruses""","""kingdom""",246,242,246
"""incertae sedis""","""genus""",105,70,86
"""incertae sedis""","""family""",48,45,48